country_name,country_code,indicator_name,indicator_code,year,debt_value
Chad,CHA,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,159082822.39006388
Liberia,LIB,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2010,44176402.76590846
Brazil,BRA,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,47567103.48777328
Cambodia,CAM,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,142336231.11436796
Colombia,COL,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,4251475917.162676
Serbia,SER,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,1181290419.877394
Mali,MAL,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,40568502.54915996
Vanuatu,VAN,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2010,12220734.832085364
North Macedonia,NOR,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,105555604.58709452
Kenya,KEN,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,4245455.928980674
Syrian Arab Republic,SYR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,67648544.20217392
China,CHI,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,202834683.8964569
South Africa,SOU,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,27344889.76381526
Sudan,SUD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,1474869777.0386484
Samoa,SAM,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,3328726.173804984
Eswatini,ESW,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,919710519.9756576
Lebanon,LEB,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,239767321.13162076
Sri Lanka,SRI,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,347761064.4843943
Dominica,DOM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,189146516.8521683
Cabo Verde,CAB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,1087565796.516132
"Congo, Dem. Rep.",CON,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,425780317.6739117
Nigeria,NIG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,8847405.868147325
Tanzania,TAN,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,115684299.988299
North Macedonia,NOR,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2010,22082554.45050555
Myanmar,MYA,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,125848584.64928287
"Venezuela, RB",VEN,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,1259201091.5597892
Pakistan,PAK,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,553936509.1012251
Vietnam,VIE,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,95063542.6362588
Belarus,BEL,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,166305274.38389152
Angola,ANG,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,148455144.85920137
St. Lucia,ST.,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,868288584.8815523
Bulgaria,BUL,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,66129068.27446343
Guatemala,GUA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,348623206.0586179
Zambia,ZAM,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,818134392.8370538
Burundi,BUR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,13187518.687688155
St. Vincent and the Grenadines,ST.,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2010,54164019.37853666
Vietnam,VIE,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,41558993.78390093
Haiti,HAI,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,12340221.67764214
"Venezuela, RB",VEN,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2010,321751322.4257866
Turkey,TUR,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,438295810.8807353
Paraguay,PAR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,5391329.827029653
Botswana,BOT,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,394887595.81641287
Bangladesh,BAN,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,62930578.41744437
"Congo, Dem. Rep.",CON,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,896229295.7213147
Mauritania,MAU,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2010,457248714.5377758
Fiji,FIJ,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,33122739.052454293
Tajikistan,TAJ,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,126851410.725531
Turkey,TUR,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,438007765.3659216
Ethiopia,ETH,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2010,22486976.033240505
Moldova,MOL,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,109984894.71212833
Philippines,PHI,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2010,2765407524.825451
Eritrea,ERI,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,115594416.182777
Albania,ALB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,118436138.90942718
Samoa,SAM,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2010,4380377.985548029
Burkina Faso,BUR,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,160918423.26243803
Montenegro,MON,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,280419851.33242714
Bulgaria,BUL,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,43714152.61130311
Ethiopia,ETH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,264597114.93230712
Angola,ANG,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,126056164.61253156
"Gambia, The",GAM,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2010,254887439.55546093
Tonga,TON,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,61997818.6326707
Ecuador,ECU,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,714676036.3322939
Kenya,KEN,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,65028478.91184658
Cameroon,CAM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,1512833197.8311143
North Macedonia,NOR,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,134260967.8081588
Uganda,UGA,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,171977524.8866045
Senegal,SEN,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2010,9999683.968050197
Algeria,ALG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,177996025.2450716
Tonga,TON,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,325282490.2615405
Bangladesh,BAN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2010,171358138.69368255
Tunisia,TUN,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,111718203.84837626
Georgia,GEO,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,2252039269.4813943
Kazakhstan,KAZ,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2010,12698495.622392649
Morocco,MOR,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2010,149700592.16566846
Costa Rica,COS,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2010,59487520.31195565
Djibouti,DJI,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2010,82166259.63174532
Nigeria,NIG,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2010,17115205.51849509
Bangladesh,BAN,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2010,88985419.07156207
Peru,PER,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2010,753282403.5989901
Nigeria,NIG,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2010,14485993.44437652
Costa Rica,COS,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,71276161.52819547
Zimbabwe,ZIM,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2010,113916570.0436592
Syrian Arab Republic,SYR,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,1248128210.7936563
Comoros,COM,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2010,144599015.5458801
Uganda,UGA,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2010,32316687.053578254
Burundi,BUR,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2010,120954255.7662112
