Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chad,CHA,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,159082822.39006388,157816318.0124375,204554118.42225167,188818422.3823492,211846999.44781283,224639137.53638798,194577309.8153268,209985711.8239256,254876562.86830857,219012346.40212992,267853622.20601186,291350343.6848434
Liberia,LIB,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,44176402.76590846,43991394.75975029,49166095.8390607,50096126.74674372,43855944.11330271,54014011.6391332,45809033.21207452,,45962833.21093656,66284963.044494145,53523506.742777586,60850909.62970507
Brazil,BRA,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,47567103.48777328,59399866.222823925,,68068556.10917994,65412356.61486373,55896578.91791595,66638306.221605666,85243050.04552205,78221176.58163148,79569160.23195094,73574288.91443278,79364096.80426234
Cambodia,CAM,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,142336231.11436796,168068999.94062257,159208042.1185382,210444867.9659578,177389384.6563436,172210079.41317153,222059946.8585778,234473346.36278594,269081121.73608136,250070940.23130602,235454533.14202762,290763937.81069255
Central African Republic,CEN,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,,1286971497.2486813,1163381757.6867173,1204602641.332074,1644482410.4618232,1338160631.4760444,1680668795.4804263,1504857215.8845448,1395041498.1183176,1358048587.8119588,1777661303.0185473,2148468894.0932965
Colombia,COL,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,4251475917.162676,5566293387.283536,3996020484.82723,5242064189.06566,4417856643.341943,4760921551.018802,5606420846.712683,5991249591.09429,5590294279.524122,5937759248.616814,5533974584.805859,6310988599.28389
Serbia,SER,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,1181290419.877394,1522534239.8111196,1830657131.3984385,1658110265.7702036,1857070525.3029947,,1697289569.685012,1778717229.3953114,2118523929.5630739,,2141937846.8834443,2335890399.3567758
Mali,MAL,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,40568502.54915996,42481375.60738257,44125082.111005895,48888803.27790317,52520728.22500076,70242120.59309483,63601925.88029637,76527916.32681635,63022044.79832063,67615799.97198784,66160653.935738645,64198867.328013435
Vanuatu,VAN,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,12220734.832085364,11005908.268164631,13815091.230124062,10357858.15038805,14759080.66554205,15311574.166944804,13072144.550608696,13438826.563046,,17653551.421784267,18393898.3344471,15637895.261811936
North Macedonia,NOR,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,105555604.58709452,124057976.6894707,113656445.08101784,143107139.44456562,123678673.84753822,171361870.08175546,163916503.51660848,180657750.61098707,166340467.87770307,169643744.1443314,154618277.3613816,192183921.84406346
Kenya,KEN,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,4245455.928980674,5699094.710027461,5693782.9421347715,5044652.201791282,,7526199.500890317,6905612.0733050415,6787137.970826159,6044792.011488008,8198188.6944975,8445666.999710228,8440441.116460897
Syrian Arab Republic,SYR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,67648544.20217392,,65545018.13830192,86923872.72710383,85459146.40433,77706500.83018258,70700324.72062452,79086415.08587399,107444706.25283891,86953686.60093176,90712769.29169923,88091497.55541758
China,CHI,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,202834683.8964569,226012874.8655246,206024685.35718897,299290287.71306777,231151558.1533141,232200063.03993055,249783646.9400285,325962045.19458956,296094983.5636944,324359418.1916767,264338403.0779794,274963755.3439355
South Africa,SOU,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,27344889.76381526,26688291.327767864,37034819.11322247,29899434.783327304,31468039.717878267,42173577.733719446,31305948.61434163,42056267.2718232,46383150.71941374,41101346.495159335,33897866.13492462,41544156.67924094
Sudan,SUD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,1474869777.0386484,1648377213.0419474,1758874646.1185791,1408827384.553353,1727266667.4193728,1922155938.6339285,1598441291.2207816,1715395750.2584107,2219312592.980414,2176026723.569989,1929860767.8215928,2338643970.746207
Samoa,SAM,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,3328726.173804984,4107361.6830332316,5290584.0480767265,4221093.705444604,5759272.522444509,6024463.018429222,6113233.058628649,5646869.3245720975,6046223.840086092,6788973.56482969,6793706.780457222,6651431.501560584
Eswatini,ESW,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,919710519.9756577,937118551.5455573,1104651187.4980476,1286826920.2047765,1000089620.2954183,1457778113.125432,1439874309.996783,1166883121.5085392,1504551611.1248872,1370367226.2996304,1427925773.6105769,1709536060.6071186
Lebanon,LEB,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,239767321.13162073,268089013.63453415,231771230.5186106,209208786.78679323,317787551.79398614,224502636.8363307,341183326.6265136,284713446.15701,250560100.74062872,,,409276045.8243107
Sri Lanka,SRI,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,347761064.4843943,426219102.76758754,412604481.87153655,423513221.0968786,507615802.40388465,458192344.01987535,472557917.62842155,398453596.94896203,418755313.60821426,420717528.9386829,631615013.7575476,539563052.0556306
Dominica,DOM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,189146516.8521683,180155660.68130296,205161569.5555894,269376942.49030656,286062387.6861507,259481323.33754343,262579471.9291918,336081734.45976794,257554981.7862899,268546784.4506219,287401141.6308334,281546870.6119127
Cabo Verde,CAB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1087565796.516132,976942267.7801987,1307092006.097401,1371052507.1994958,1135012719.8553095,1147672164.889542,1290623304.529922,1245343126.5091536,1540391317.6182907,1687152303.4036157,1650856695.3856926,1802413661.1083982
"Congo, Dem. Rep.",CON,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,425780317.6739117,362927847.4794125,363875996.37536764,548781445.192941,446693786.41493833,578073386.3989651,639505293.273034,489644423.5373465,520118832.8368367,633271439.6626956,729550341.846402,741250786.5819144
Nigeria,NIG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,8847405.868147325,7875802.5985015975,9748365.759598209,10092457.843837837,8960763.285579523,9114916.516402412,11675748.352981986,11225019.385696616,12554304.104676707,12419774.179690083,11985937.094766164,10043250.404714959
Tanzania,TAN,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,115684299.988299,119538746.90568334,120728310.4177699,146828282.63065532,131988302.79388627,163088612.7122899,142315185.05909604,124619695.64912862,150895213.41727027,138056164.1347323,169962517.13737762,182119726.85311806
North Macedonia,NOR,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,22082554.45050555,19725765.10249232,22954640.967963576,,25438926.23781316,29836441.835631296,30849788.53261244,32840040.819669154,30576680.88020071,35283678.60232504,34787835.10027235,28819492.50994251
Myanmar,MYA,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,125848584.64928287,125151239.70412965,174941841.96285978,153354615.04605857,190495231.0771791,186779427.2457398,160322286.66487807,231489145.6744325,200778763.57850325,231873537.56287488,219392690.65927878,236073148.33612445
"Venezuela, RB",VEN,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,1259201091.5597892,1116650872.8623214,1097413185.61713,1152425017.9045846,1106311660.489141,1318979189.9854066,1331677527.920519,1287601540.89719,1270457371.8078284,1407610727.7623887,1580544893.2605634,1340038036.3303356
Pakistan,PAK,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,553936509.1012251,699738989.4075211,633288124.9210964,703601178.2993572,789455873.8114535,609524868.4907641,,646158811.5064658,680367733.1748185,827492137.7182478,790815603.9446211,
Vietnam,VIE,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,95063542.6362588,73774012.47485483,94866730.49749285,95527964.16428567,84058928.669938,83260362.54443999,117318172.5071491,93901258.31926206,98690529.77915032,139236356.8525731,131407219.63926141,112461743.4059795
Belarus,BEL,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,166305274.38389152,153925032.703135,174740797.74609452,186896704.85518116,150657043.38985753,155805002.4837348,191260162.4515813,183406011.10127035,,236944657.75688666,198915402.02019435,195366461.25761935
Angola,ANG,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,148455144.85920137,161683310.04451725,134903534.8086781,187628320.3548412,157336348.4110221,,170080117.8302018,175464127.74343136,,212668089.2727783,228257905.80303377,189965556.14468157
St. Lucia,ST.,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,868288584.8815523,1064578359.0051773,1248226143.3234706,1149942548.4757512,,1108317329.3591633,1191177383.8047364,1493605300.0073633,1469295468.7010975,1645716746.0822961,1584465104.0585346,1444774035.4272816
Bulgaria,BUL,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,66129068.27446343,79552681.33347605,66863358.86949436,70837971.59459868,105814070.58401789,85514611.00675634,105048633.30348507,111410370.09440655,117650846.87202598,127804764.19616513,98862271.00675742,92990334.05195868
Guatemala,GUA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,348623206.0586179,267296113.69499475,355231405.85139585,314017296.2444575,304809154.57629365,353374203.3820543,424039852.6775419,388496093.5640121,414763439.55191374,507049514.25667906,420149373.5870385,473295494.2647374
Zambia,ZAM,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,818134392.8370538,,872423520.0296328,810304033.1559454,881328562.3457546,1128288579.1310115,833616509.0266292,1091170083.8953366,1035958059.839645,1079382362.532141,1349532546.6855695,1379651751.1133661
Burundi,BUR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,13187518.687688157,11905320.641011639,14201735.059791997,15593979.909274021,17091695.42687239,14501714.54507377,17488910.034657955,14785623.643940246,20235184.78301192,14197691.592159258,18876146.218387492,19924725.923806872
St. Vincent and the Grenadines,ST.,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,54164019.37853666,54811336.954764105,46357301.12190983,60791923.347799666,49207179.9983448,59183629.52828867,77628577.87370674,63342580.68732917,83814804.07253067,66442712.33270994,70701902.434338,82965086.88612878
Vietnam,VIE,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,41558993.783900924,50132380.2937584,42296028.37086925,53782949.260947876,54562710.75855668,,55628210.42011049,45366319.26799341,66580914.56700732,49247705.260643125,61979210.094181426,58219363.83583424
Haiti,HAI,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,12340221.677642139,14018501.472349728,11854464.433709485,12703381.892906219,16361974.255104758,17014465.539552703,18155690.080778517,18381164.172585636,13974539.850598557,19211281.06759164,16960756.851027653,21751304.17121251
"Venezuela, RB",VEN,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,321751322.4257866,326818911.3869853,340487664.61059946,411986326.67575,495587560.50468355,456542262.21874964,419224540.93336236,498713162.66290647,514493307.7144341,527200618.0760623,,571727906.8963257
Turkey,TUR,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,438295810.8807353,501490543.5806913,499787392.3398695,511947554.02384424,472750943.2259998,474239071.79679567,603842006.2662177,640090583.2129434,560183660.8324212,475405638.01334,683584206.1954635,578007848.2023579
Paraguay,PAR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,5391329.827029653,7724207.970946968,7090565.049827325,7025469.920744904,6322378.012066824,7622430.76410895,9666846.743992085,6988113.6031261105,8873705.76799898,10886061.24482472,9200924.609753756,9639962.245159758
Botswana,BOT,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,394887595.81641287,337725942.6358368,511964180.1365026,400763366.4394624,432854304.97117424,450839765.873647,453910174.0677002,422984299.0074935,598173270.7214136,673447115.6036781,522304674.4809613,646176448.3859164
Bangladesh,BAN,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,62930578.41744437,51062079.522712894,71732499.7682995,58890766.15190481,57381180.47899169,76414768.29375157,75739768.87816128,73904391.47576898,,86401136.54805891,73249572.57250145,101772847.51795194
"Congo, Dem. Rep.",CON,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,896229295.7213147,769104418.7189091,1015051171.1423252,976423153.6179247,870215969.9476112,917118222.1436889,1120668961.3483424,1253183100.9912422,1109332272.145519,1074121266.6062617,1410666348.0825565,1357148970.808916
Mauritania,MAU,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,457248714.5377758,448276167.87491894,615542390.5864336,566514549.7690799,683964664.5691336,629838081.3632731,628433734.1930388,681869331.6974024,792904313.2624542,867133687.9452934,633553771.7213719,806172396.6407689
Fiji,FIJ,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,33122739.052454293,37903913.214222446,33369804.238282535,41997499.09800333,45060163.44333125,33026944.994040217,36418617.981379904,49968087.64717962,51958350.47739883,38158731.40370572,37918140.17056312,42023053.63605843
Tajikistan,TAJ,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,126851410.72553101,156283760.68279508,136295873.44856703,134762691.12661648,183345096.59883,192288894.1940197,195088561.45151404,171210567.70779094,211700001.11759967,173199235.13692892,,229933594.3463265
Turkey,TUR,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,438007765.36592156,393254230.358246,360640201.5307834,494208805.774935,,542473718.9196353,620672424.9479532,654158046.5566808,510843233.16565526,664755041.41096,,
Ethiopia,ETH,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,22486976.033240505,20379342.886082992,26191124.694724374,29331547.563318893,24226971.820730995,27847035.59315492,34586999.00798915,28164308.408412598,32484690.974587686,27099453.821988598,34952138.79717455,28960566.111952756
Moldova,MOL,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,109984894.71212831,95993766.1374772,129527877.88679814,134377552.7250962,148349758.07006505,106902133.2424346,122702873.65753974,162515881.1811197,159199310.84198925,178703301.69270587,131392636.36937912,171397770.71438998
Philippines,PHI,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2765407524.825451,2327602599.4817405,2525244335.2782106,3177290630.7320466,3422952683.487869,2871992239.028395,3010794415.354137,,3732350628.810169,3231493225.5564475,3238913687.6777816,4260833485.963776
Eritrea,ERI,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,115594416.182777,129806849.46654959,124299917.04796946,169924272.74123314,156330955.25536993,209016634.78542683,160390541.3742197,178108575.40783656,185651033.1087978,163788777.12174892,239520810.21263817,177136886.90925443
Albania,ALB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,118436138.90942718,141912853.440535,138375986.48973095,117690374.06041104,117562997.35488324,156282910.89720675,124649957.24079148,165167405.92585242,194764197.3335063,176695281.30653575,169494743.33448225,193854536.20161584
Samoa,SAM,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,4380377.985548029,4309523.350948455,4422874.203085819,4499101.5927181775,,4753755.64517661,,6042570.190939657,5390247.254817414,6735462.691815698,5697254.94229896,6833140.545678721
Burkina Faso,BUR,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,160918423.26243803,169726814.40257162,171626124.06938836,190606871.3814723,167690797.2391321,199967878.39563692,193262068.93394,225187561.45366648,187865448.0420095,233617966.07968056,205425002.21972996,221342528.00807893
Montenegro,MON,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,280419851.33242714,289282462.47729117,314448681.29135555,322918880.45619076,267792022.62229615,302274093.41230035,292198038.16586065,405095374.6743913,405903069.1290597,336932489.68149024,370681498.8274791,485337398.0611056
Bulgaria,BUL,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,43714152.611303106,38052146.94539329,46047980.74493885,34869101.52430233,41199438.293794416,,56865868.47600499,55909789.66602809,58712716.452782415,62630505.914517336,45982241.61352771,54362591.50167645
Ethiopia,ETH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,264597114.93230712,254959209.7353949,274230610.3175183,278052545.04747206,277869678.04835325,273820665.7930523,332252223.9538267,356916431.78825086,312828393.10328513,380074452.7630274,346479242.6111129,351799029.8639718
Angola,ANG,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,126056164.61253156,181958122.0307251,187297938.90639648,,184488340.16306904,177915936.0332537,158481619.58915234,187038683.44600645,232810479.68595585,172455387.128864,207669639.7354592,220539063.88891253
"Gambia, The",GAM,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,254887439.55546093,338172692.3458594,,297379396.7754185,338850553.2380953,333947058.6168389,373891740.64019185,320170795.6926905,470594567.0445384,394468921.57361877,395062234.7568639,471159686.1931857
Tonga,TON,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,61997818.6326707,54087824.432425775,71856213.63726684,51245628.94409456,73223294.66591315,81697112.95511572,67011129.38823442,78788039.56082712,79056104.65407492,88247946.32958438,94751220.6208364,88920871.48158543
Ecuador,ECU,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,714676036.3322939,708957806.7492691,732542773.4242302,611875568.1576173,665503970.5191438,849352684.0759228,743638976.9261729,875859855.3503698,923102666.8411192,857876476.301304,1145871032.1821384,
Kenya,KEN,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,65028478.91184658,77715632.75417936,73423651.202693,62530784.95301893,74206982.91434166,82758280.86698198,65912813.34588831,67997248.89102672,74522559.34746659,81615667.07527466,91100090.37455602,96379852.85388446
